,Non_Res_Travel,Country,Year,Non-resident travellers (thousands)
0,ARRIVALS,TOTAL,2012.0,5568.9
1,ARRIVALS,TOTAL,2013.0,5821.8
2,ARRIVALS,TOTAL,2014.0,6245.9
3,ARRIVALS,TOTAL,2015.0,6841.7
4,ARRIVALS,TOTAL,2016.0,6797.0
5,ARRIVALS,TOTAL,2017.0,7725.8
6,ARRIVALS,TOTAL,2018.0,7775.2
7,ARRIVALS,TOTAL,2019.0,8342.3
8,ARRIVALS,TOTAL,2020.0,3203.6
9,ARRIVALS,TOTAL,2021.0,1936.8
10,ARRIVALS,US,2012.0,41.4
11,ARRIVALS,US,2013.0,41.5
12,ARRIVALS,US,2014.0,30.3
13,ARRIVALS,US,2015.0,0.0
14,ARRIVALS,US,2016.0,52.7
15,ARRIVALS,US,2017.0,107.7
16,ARRIVALS,US,2018.0,58.1
17,ARRIVALS,US,2019.0,81.5
18,ARRIVALS,US,2020.0,0.0
19,ARRIVALS,US,2021.0,0.0
20,ARRIVALS,UK,2012.0,87.4
21,ARRIVALS,UK,2013.0,90.1
22,ARRIVALS,UK,2014.0,111.8
23,ARRIVALS,UK,2015.0,138.7
24,ARRIVALS,UK,2016.0,142.0
25,ARRIVALS,UK,2017.0,266.2
26,ARRIVALS,UK,2018.0,362.1
27,ARRIVALS,UK,2019.0,313.3
28,ARRIVALS,UK,2020.0,67.7
29,ARRIVALS,UK,2021.0,88.2
30,ARRIVALS,AM,2012.0,5.7
31,ARRIVALS,AM,2013.0,0.0
32,ARRIVALS,AM,2014.0,0.0
33,ARRIVALS,AM,2015.0,0.0
34,ARRIVALS,AM,2016.0,0.0
35,ARRIVALS,AM,2017.0,0.0
36,ARRIVALS,AM,2018.0,0.0
37,ARRIVALS,AM,2019.0,0.0
38,ARRIVALS,AM,2020.0,0.0
39,ARRIVALS,AM,2021.0,0.0
40,ARRIVALS,AU,2012.0,0.0
41,ARRIVALS,AU,2013.0,6.9
42,ARRIVALS,AU,2014.0,0.0
43,ARRIVALS,AU,2015.0,0.0
44,ARRIVALS,AU,2016.0,0.0
45,ARRIVALS,AU,2017.0,0.0
46,ARRIVALS,AU,2018.0,0.0
47,ARRIVALS,AU,2019.0,22.2
48,ARRIVALS,AU,2020.0,0.0
49,ARRIVALS,AU,2021.0,0.0
50,ARRIVALS,AT,2012.0,21.8
51,ARRIVALS,AT,2013.0,23.0
52,ARRIVALS,AT,2014.0,21.8
53,ARRIVALS,AT,2015.0,23.1
54,ARRIVALS,AT,2016.0,26.9
55,ARRIVALS,AT,2017.0,43.6
56,ARRIVALS,AT,2018.0,71.3
57,ARRIVALS,AT,2019.0,25.9
58,ARRIVALS,AT,2020.0,8.5
59,ARRIVALS,AT,2021.0,10.5
60,ARRIVALS,BY,2012.0,168.5
61,ARRIVALS,BY,2013.0,194.7
62,ARRIVALS,BY,2014.0,202.0
63,ARRIVALS,BY,2015.0,160.6
64,ARRIVALS,BY,2016.0,151.8
65,ARRIVALS,BY,2017.0,173.7
66,ARRIVALS,BY,2018.0,253.0
67,ARRIVALS,BY,2019.0,268.9
68,ARRIVALS,BY,2020.0,59.5
69,ARRIVALS,BY,2021.0,72.2
70,ARRIVALS,BE,2012.0,47.4
71,ARRIVALS,BE,2013.0,51.6
72,ARRIVALS,BE,2014.0,38.4
73,ARRIVALS,BE,2015.0,55.9
74,ARRIVALS,BE,2016.0,37.5
75,ARRIVALS,BE,2017.0,52.4
76,ARRIVALS,BE,2018.0,31.8
77,ARRIVALS,BE,2019.0,45.3
78,ARRIVALS,BE,2020.0,7.4
79,ARRIVALS,BE,2021.0,8.9
80,ARRIVALS,BG,2012.0,10.3
81,ARRIVALS,BG,2013.0,6.3
82,ARRIVALS,BG,2014.0,5.3
83,ARRIVALS,BG,2015.0,5.5
84,ARRIVALS,BG,2016.0,4.5
85,ARRIVALS,BG,2017.0,4.9
86,ARRIVALS,BG,2018.0,6.8
87,ARRIVALS,BG,2019.0,0.0
88,ARRIVALS,BG,2020.0,0.0
89,ARRIVALS,BG,2021.0,0.0
90,ARRIVALS,CZ,2012.0,39.0
91,ARRIVALS,CZ,2013.0,42.5
92,ARRIVALS,CZ,2014.0,40.3
93,ARRIVALS,CZ,2015.0,48.3
94,ARRIVALS,CZ,2016.0,41.0
95,ARRIVALS,CZ,2017.0,45.8
96,ARRIVALS,CZ,2018.0,41.0
97,ARRIVALS,CZ,2019.0,64.1
98,ARRIVALS,CZ,2020.0,13.1
99,ARRIVALS,CZ,2021.0,15.0
100,ARRIVALS,DK,2012.0,59.8
101,ARRIVALS,DK,2013.0,59.8
102,ARRIVALS,DK,2014.0,56.8
103,ARRIVALS,DK,2015.0,53.6
104,ARRIVALS,DK,2016.0,32.6
105,ARRIVALS,DK,2017.0,63.1
106,ARRIVALS,DK,2018.0,56.9
107,ARRIVALS,DK,2019.0,46.3
108,ARRIVALS,DK,2020.0,13.1
109,ARRIVALS,DK,2021.0,16.4
110,ARRIVALS,FR,2012.0,43.0
111,ARRIVALS,FR,2013.0,52.0
112,ARRIVALS,FR,2014.0,50.3
113,ARRIVALS,FR,2015.0,43.5
114,ARRIVALS,FR,2016.0,43.2
115,ARRIVALS,FR,2017.0,41.2
116,ARRIVALS,FR,2018.0,63.9
117,ARRIVALS,FR,2019.0,62.5
118,ARRIVALS,FR,2020.0,8.7
119,ARRIVALS,FR,2021.0,17.7
120,ARRIVALS,EL,2012.0,11.2
121,ARRIVALS,EL,2013.0,14.5
122,ARRIVALS,EL,2014.0,8.4
123,ARRIVALS,EL,2015.0,7.6
124,ARRIVALS,EL,2016.0,0.0
125,ARRIVALS,EL,2017.0,0.0
126,ARRIVALS,EL,2018.0,12.2
127,ARRIVALS,EL,2019.0,5.9
128,ARRIVALS,EL,2020.0,0.0
129,ARRIVALS,EL,2021.0,0.0
130,ARRIVALS,GE,2012.0,16.4
131,ARRIVALS,GE,2013.0,20.7
132,ARRIVALS,GE,2014.0,12.1
133,ARRIVALS,GE,2015.0,12.2
134,ARRIVALS,GE,2016.0,10.4
135,ARRIVALS,GE,2017.0,18.1
136,ARRIVALS,GE,2018.0,30.4
137,ARRIVALS,GE,2019.0,33.3
138,ARRIVALS,GE,2020.0,10.1
139,ARRIVALS,GE,2021.0,10.3
140,ARRIVALS,HR,2012.0,4.2
141,ARRIVALS,HR,2013.0,3.9
