,Country,Year,"Total expenditures of non-resident visitors, million euro","Average daily expenditure per non-resident traveller, euro","Average length of trips, nights"
0,TOTAL,2012,438.1,75.0,4.0
1,TOTAL,2013,481.5,68.6,4.6
2,TOTAL,2014,516.9,66.0,4.2
3,TOTAL,2015,540.8,66.3,4.0
4,TOTAL,2016,474.4,54.1,4.9
5,TOTAL,2017,533.9,60.2,4.5
6,TOTAL,2018,516.7,65.7,4.0
7,TOTAL,2019,538.2,65.1,4.3
8,TOTAL,2020,145.4,50.3,4.5
9,TOTAL,2021,145.4,51.1,6.0
10,US,2012,7.6,53.1,7.6
11,US,2013,8.4,52.8,7.8
12,US,2014,9.2,65.0,6.7
13,US,2015,9.2,55.8,8.7
14,US,2016,9.8,54.5,9.0
15,US,2017,9.1,77.8,7.4
16,US,2018,9.5,62.0,9.3
17,US,2019,0.0,0.0,0.0
18,US,2020,0.0,0.0,0.0
19,US,2021,0.0,0.0,0.0
20,UK,2012,24.9,106.4,4.8
21,UK,2013,26.2,101.0,4.9
22,UK,2014,31.0,53.9,6.7
23,UK,2015,45.5,58.3,6.9
24,UK,2016,53.1,57.9,7.8
25,UK,2017,88.8,62.6,6.1
26,UK,2018,85.3,69.0,5.2
27,UK,2019,93.0,60.3,6.2
28,UK,2020,21.7,41.5,10.4
29,UK,2021,30.1,41.4,10.4
30,AT,2012,2.4,66.3,3.9
31,AT,2013,3.1,60.0,4.6
32,AT,2014,6.6,95.7,4.2
33,AT,2015,5.6,106.2,3.4
34,AT,2016,2.9,64.4,4.8
35,AT,2017,9.7,57.4,5.5
36,AT,2018,13.7,63.2,4.9
37,AT,2019,0.0,0.0,0.0
38,AT,2020,0.0,0.0,0.0
39,AT,2021,0.0,0.0,0.0
40,BY,2012,3.1,34.1,4.0
41,BY,2013,2.6,24.7,3.5
42,BY,2014,4.5,39.3,4.7
43,BY,2015,3.2,42.4,4.0
44,BY,2016,7.7,43.9,3.1
45,BY,2017,7.2,58.7,2.6
46,BY,2018,11.8,62.5,2.8
47,BY,2019,4.8,80.8,2.6
48,BY,2020,1.0,84.1,2.1
49,BY,2021,0.9,41.1,2.4
50,BE,2012,8.1,107.9,3.5
51,BE,2013,10.1,112.6,3.2
52,BE,2014,8.3,104.1,3.0
53,BE,2015,12.7,97.7,3.3
54,BE,2016,7.9,68.8,4.5
55,BE,2017,14.8,85.8,4.3
56,BE,2018,5.2,48.0,5.8
57,BE,2019,5.6,67.2,4.3
58,BE,2020,0.0,0.0,0.0
59,BE,2021,0.0,0.0,0.0
60,CZ,2012,1.5,49.4,2.8
61,CZ,2013,2.0,42.5,3.5
62,CZ,2014,3.0,53.6,3.4
63,CZ,2015,3.5,50.5,3.2
64,CZ,2016,2.4,42.3,3.4
65,CZ,2017,2.2,49.3,3.9
66,CZ,2018,2.0,42.8,4.3
67,CZ,2019,3.9,33.7,5.4
68,CZ,2020,0.0,0.0,0.0
69,CZ,2021,0.0,0.0,0.0
70,DK,2012,9.0,106.7,3.4
71,DK,2013,10.8,94.4,4.1
72,DK,2014,10.2,81.7,4.2
73,DK,2015,9.8,99.2,3.3
74,DK,2016,4.3,69.9,4.3
75,DK,2017,9.3,81.4,3.5
76,DK,2018,12.2,81.7,4.6
77,DK,2019,6.6,73.7,4.9
78,DK,2020,2.0,57.8,8.2
79,DK,2021,2.6,50.2,9.2
80,FR,2012,5.0,74.8,4.0
81,FR,2013,7.2,63.3,5.3
82,FR,2014,10.4,98.7,3.6
83,FR,2015,7.6,63.0,5.7
84,FR,2016,5.4,40.0,9.3
85,FR,2017,0.0,0.0,0.0
86,FR,2018,8.1,48.6,6.2
87,FR,2019,7.9,117.7,4.0
88,FR,2020,0.0,0.0,0.0
89,FR,2021,0.0,0.0,0.0
90,EE,2012,15.7,45.8,2.8
91,EE,2013,21.3,52.8,2.8
92,EE,2014,23.3,48.9,2.6
93,EE,2015,32.4,48.6,2.4
94,EE,2016,28.2,43.8,2.4
95,EE,2017,19.4,36.8,2.7
96,EE,2018,17.9,36.7,2.8
97,EE,2019,26.1,44.4,2.8
98,EE,2020,10.6,39.9,3.0
99,EE,2021,6.5,89.1,1.6
100,IE,2012,4.3,64.9,5.1
101,IE,2013,8.5,37.1,9.1
102,IE,2014,7.9,45.8,7.3
103,IE,2015,6.3,41.1,8.6
104,IE,2016,17.5,80.4,7.5
105,IE,2017,36.3,60.8,8.1
106,IE,2018,22.6,69.8,5.7
107,IE,2019,23.6,72.9,5.8
108,IE,2020,10.0,43.9,11.7
109,IE,2021,6.4,48.7,10.9
110,CA,2012,1.9,55.6,7.3
111,CA,2013,0.0,0.0,0.0
112,CA,2014,2.2,80.1,5.3
113,CA,2015,0.0,0.0,0.0
114,CA,2016,0.0,0.0,0.0
115,CA,2017,0.0,0.0,0.0
116,CA,2018,0.0,0.0,0.0
117,CA,2019,0.0,0.0,0.0
118,CA,2020,0.0,0.0,0.0
119,CA,2021,0.0,0.0,0.0
120,KZ,2012,0.8,40.6,4.6
121,KZ,2013,0.4,23.6,4.0
122,KZ,2014,2.2,40.2,7.3
123,KZ,2015,2.5,47.7,9.8
124,KZ,2016,3.8,46.3,18.1
125,KZ,2017,1.6,67.8,5.7
126,KZ,2018,1.3,77.5,2.7
127,KZ,2019,0.0,0.0,0.0
128,KZ,2020,0.0,0.0,0.0
129,KZ,2021,0.0,0.0,0.0
130,RU,2012,89.9,50.5,6.5
131,RU,2013,118.6,48.8,7.3
132,RU,2014,131.8,52.0,7.3
133,RU,2015,98.0,51.9,6.8
134,RU,2016,80.6,45.9,7.9
135,RU,2017,73.4,50.5,6.0
136,RU,2018,73.4,56.2,5.4
137,RU,2019,89.6,62.3,4.8
138,RU,2020,19.8,62.1,3.7
139,RU,2021,11.4,51.9,2.9
140,LT,2012,27.9,65.2,2.1
141,LT,2013,30.5,74.8,1.9
142,LT,2014,35.9,66.0,2.0
143,LT,2015,53.8,76.2,2.0
144,LT,2016,48.0,62.9,2.0
145,LT,2017,33.3,56.3,2.0
146,LT,2018,29.4,55.6,1.9
147,LT,2019,42.1,68.7,2.0
148,LT,2020,15.3,40.5,1.8
149,LT,2021,10.6,120.3,1.3
150,NL,2012,8.0,80.8,4.6
151,NL,2013,9.6,81.3,4.5
152,NL,2014,11.3,92.0,3.6
153,NL,2015,12.5,74.7,3.8
154,NL,2016,4.5,73.1,4.8
155,NL,2017,5.7,76.8,4.4
156,NL,2018,7.5,76.3,4.7
157,NL,2019,0.0,0.0,0.0
158,NL,2020,0.0,0.0,0.0
159,NL,2021,2.4,33.5,14.4
160,NO,2012,35.6,135.0,3.5
161,NO,2013,43.9,124.6,4.1
162,NO,2014,37.0,114.9,3.8
163,NO,2015,40.7,114.3,3.8
164,NO,2016,19.9,89.9,5.0
165,NO,2017,17.6,80.7,4.7
166,NO,2018,24.1,86.6,5.6
167,NO,2019,15.7,97.4,4.0
168,NO,2020,7.3,56.8,10.0
169,NO,2021,8.6,51.7,14.2
170,PL,2012,2.0,31.6,2.3
171,PL,2013,2.8,33.7,2.5
172,PL,2014,6.3,50.8,2.7
173,PL,2015,7.0,53.0,2.6
174,PL,2016,7.6,46.4,3.0
