,Indicator,Year,Structure of non-resident travellers
0,T,2012,100.0
1,T,2013,100.0
2,T,2014,100.0
3,T,2015,100.0
4,T,2016,100.0
5,T,2017,100.0
6,T,2018,100.0
7,T,2019,100.0
8,T,2020,100.0
9,T,2021,100.0
10,TOTAL,2012,100.0
11,TOTAL,2013,100.0
12,TOTAL,2014,100.0
13,TOTAL,2015,100.0
14,TOTAL,2016,100.0
15,TOTAL,2017,100.0
16,TOTAL,2018,100.0
17,TOTAL,2019,100.0
18,TOTAL,2020,100.0
19,TOTAL,2021,100.0
20,M,2012,70.3
21,M,2013,70.0
22,M,2014,69.5
23,M,2015,67.7
24,M,2016,65.7
25,M,2017,65.4
26,M,2018,66.2
27,M,2019,65.5
28,M,2020,64.7
29,M,2021,65.7
30,Y15-24,2012,9.6
31,Y15-24,2013,9.2
32,Y15-24,2014,9.9
33,Y15-24,2015,10.0
34,Y15-24,2016,13.5
35,Y15-24,2017,16.1
36,Y15-24,2018,13.5
37,Y15-24,2019,13.2
38,Y15-24,2020,12.9
39,Y15-24,2021,9.3
40,F,2012,29.7
41,F,2013,30.0
42,F,2014,30.5
43,F,2015,32.3
44,F,2016,34.3
45,F,2017,34.6
46,F,2018,33.8
47,F,2019,34.5
48,F,2020,35.3
49,F,2021,34.3
50,Y25-44,2012,45.3
51,Y25-44,2013,47.2
52,Y25-44,2014,52.4
53,Y25-44,2015,53.2
54,Y25-44,2016,52.6
55,Y25-44,2017,53.1
56,Y25-44,2018,51.4
57,Y25-44,2019,56.9
58,Y25-44,2020,57.0
59,Y25-44,2021,61.7
60,Y45-64,2012,39.7
61,Y45-64,2013,37.2
62,Y45-64,2014,33.5
63,Y45-64,2015,32.6
64,Y45-64,2016,29.2
65,Y45-64,2017,27.7
66,Y45-64,2018,30.1
67,Y45-64,2019,27.2
68,Y45-64,2020,28.1
69,Y45-64,2021,27.0
70,Y_GE65,2012,5.4
71,Y_GE65,2013,6.4
72,Y_GE65,2014,4.2
73,Y_GE65,2015,4.2
74,Y_GE65,2016,4.7
75,Y_GE65,2017,3.1
76,Y_GE65,2018,5.0
77,Y_GE65,2019,2.7
78,Y_GE65,2020,2.0
79,Y_GE65,2021,1.9
